Module,Offered,Group,Language,Activity,Day,Time,Venue,Campus,Study Prog
EKT723,S1,G01,E,L1,Monday,17:00 - 19:20,Informatorium Red Lab,HATFIELD,
ELH111,S1,G01,E,L1,Tuesday,08:30 - 09:20,HB 4-1,HATFIELD,
ELH111,S1,G01,E,L2,Friday,11:30 - 12:20,HB 4-3,HATFIELD,
ELH111,S1,G02,E,L1,Wednesday,07:30 - 08:20,IT 4-4,HATFIELD,
ELH111,S1,G02,E,L2,Friday,10:30 - 11:20,HB 4-3,HATFIELD,
ELH131,S1,G01,E,L1,Wednesday,13:30 - 15:20,HB 4-15,HATFIELD,
ELH131,S1,G01,E,T1,Thursday,11:30 - 12:20,HB 4-15,HATFIELD,
ELH132,S2,G01,E,L1,Wednesday,13:30 - 15:20,HB 4-15,HATFIELD,
ELH132,S2,G01,E,T1,Thursday,12:30 - 13:20,HB 4-15,HATFIELD,
ELI220,S2,G01,E,L1,Monday,09:30 - 10:20,Eng III - 1,HATFIELD,e3r3z3 E2R2Z2
ELI220,S2,G01,E,L2,Tuesday,12:30 - 13:20,Eng III - 1,HATFIELD,e3r3z3 E2R2Z2
ELI220,S2,G01,E,L3,Thursday,09:30 - 10:20,Eng III - 1,HATFIELD,e3r3z3 E2R2Z2
ELI220,S2,G01,E,P1,Monday,12:30 - 15:20,Eng III - Electronic Lab A,HATFIELD,e3r3z3 E2R2Z2
ELI220,S2,G01,E,P1,Monday,12:30 - 15:20,Eng III - Electronic Lab B,HATFIELD,e3r3z3 E2R2Z2
ELI220,S2,G01,E,P1,Monday,12:30 - 15:20,Eng III - Electronic Lab C,HATFIELD,e3r3z3 E2R2Z2
ELI220,S2,G01,E,T1,Friday,10:30 - 11:20,Centenary 2,HATFIELD,e3r3z3 E2R2Z2
ELO320,S2,G01,E,L1,Tuesday,07:30 - 09:20,vd Bijl Hall,HATFIELD,Z3
ELO320,S2,G01,E,P1,Tuesday,13:30 - 16:20,Eng III - Electronic Lab A,HATFIELD,Z3
ELO320,S2,G01,E,T1,Wednesday,09:30 - 10:20,vd Bijl Hall,HATFIELD,Z3
ELX311,S1,G01,E,L1,Wednesday,07:30 - 09:20,Eng III - 4,HATFIELD,E3
ELX311,S1,G01,E,L2,Friday,10:30 - 11:20,Eng II 3-40,HATFIELD,E3
ELX311,S1,G01,E,P1,Wednesday,14:30 - 17:20,Eng I M-Lab 2-24,HATFIELD,E3
ELX311,S1,G01,E,T1,Friday,11:30 - 12:20,Eng II 3-40,HATFIELD,E3
EME310,S1,G01,E,L1,Monday,10:30 - 11:20,Eng I 1-4,HATFIELD,R3
EME310,S1,G01,E,L2,Tuesday,13:30 - 14:20,Eng I 1-4,HATFIELD,R3
EME310,S1,G01,E,L3,Friday,10:30 - 11:20,Eng III - 2,HATFIELD,R3
EME310,S1,G01,E,P1,Wednesday,07:30 - 10:20,Eng II 4-39 CAEC Lab,HATFIELD,R3
EME310,S1,G01,E,T1,Friday,11:30 - 12:20,Eng III - 2,HATFIELD,R3
EMK310,S1,G01,E,L1,Tuesday,07:30 - 09:20,Eng III - 1,HATFIELD,E3R3Z3
EMK310,S1,G01,E,L2,Tuesday,09:30 - 10:20,Eng II 4-39 CAEC Lab,HATFIELD,E3R3Z3
EMK310,S1,G01,E,L2,Tuesday,09:30 - 10:20,Eng III - Net Lab A,HATFIELD,E3R3Z3
EMK310,S1,G01,E,L2,Tuesday,09:30 - 10:20,Eng III - Net Lab B,HATFIELD,E3R3Z3
EMK310,S1,G01,E,L2,Tuesday,09:30 - 10:20,Eng III - Net Lab C,HATFIELD,E3R3Z3
EMK310,S1,G01,E,P1,Monday,14:30 - 17:20,Eng III - Electronic Lab A,HATFIELD,E3R3Z3
EMK310,S1,G01,E,P1,Monday,14:30 - 17:20,Eng III - Electronic Lab B,HATFIELD,E3R3Z3
EMK310,S1,G01,E,P1,Monday,14:30 - 17:20,Eng III - Electronic Lab C,HATFIELD,E3R3Z3
EMK310,S1,G01,E,T1,Monday,08:30 - 09:20,Eng II 4-39 CAEC Lab,HATFIELD,E3R3Z3
EMK310,S1,G01,E,T1,Monday,08:30 - 09:20,Eng III - 7,HATFIELD,E3R3Z3
EMK310,S1,G01,E,T1,Monday,08:30 - 09:20,Eng III - Net Lab A,HATFIELD,E3R3Z3
EMK310,S1,G01,E,T1,Monday,08:30 - 09:20,Eng III - Net Lab B,HATFIELD,E3R3Z3
EMK310,S1,G01,E,T1,Monday,08:30 - 09:20,Eng III - Net Lab C,HATFIELD,E3R3Z3
EMS310,S1,G01,E,L1,Wednesday,07:30 - 09:20,Eng I 1-3,HATFIELD,Z3
EMS310,S1,G01,E,L2,Friday,10:30 - 11:20,Eng I 1-3,HATFIELD,Z3
EMS310,S1,G01,E,P1,Wednesday,14:30 - 17:20,Eng I 1-2,HATFIELD,Z3
EMS310,S1,G01,E,P1,Wednesday,14:30 - 17:20,Eng III - Electronic Lab A,HATFIELD,Z3
EMS310,S1,G01,E,T1,Friday,11:30 - 12:20,Eng I 1-3,HATFIELD,Z3
EMZ310,S1,G01,E,L1,Monday,10:30 - 11:20,Eng II 2-37,HATFIELD,E3Z3
EMZ310,S1,G01,E,L2,Tuesday,11:30 - 12:20,Eng II 4-38,HATFIELD,E3Z3
EMZ310,S1,G01,E,L3,Wednesday,09:30 - 10:20,Eng II 2-37,HATFIELD,E3Z3
EMZ310,S1,G01,E,P1,Thursday,08:30 - 11:20,Eng III - Electronic Lab B,HATFIELD,E3Z3
